subject,region,n_units,n_images,model,layer,view,rho,reliability,rho_norm
1,all,40,63,vgg16,conv5_3,gap,0.0032131636101539874,0.1288192454505038,0.00895246154810512
1,all,40,63,vgg16,fc6,gap,0.013829337382238672,0.1288192454505038,0.038531063516037745
1,all,40,63,vgg16,fc7,gap,0.01824858573253167,0.1288192454505038,0.05084389775905627
1,all,40,63,vgg16,logits,gap,0.02619618594395686,0.1288192454505038,0.07298736566951426
1,all,40,63,resnet18,stem,gap,-0.014145187722337907,0.1288192454505038,-0.03941108033676814
1,all,40,63,resnet18,layer1,gap,-0.013660686690612968,0.1288192454505038,-0.038061171840721504
1,all,40,63,resnet18,layer2,gap,0.008427336134585689,0.1288192454505038,0.023480099942442576
1,all,40,63,resnet18,layer3,gap,0.0033733956211313538,0.1288192454505038,0.009398897239246813
1,all,40,63,resnet18,layer4,gap,0.009019324354902245,0.1288192454505038,0.025129487406737046
1,all,40,63,resnet18,avgpool,gap,0.009019324354902245,0.1288192454505038,0.025129487406737046
1,all,40,63,resnet18,logits,gap,0.01697034294373574,0.1288192454505038,0.04728247954192111
1,all,40,63,resnet50,stem,gap,-0.02050780457124114,0.1288192454505038,-0.05713849468477333
1,all,40,63,resnet50,layer1,gap,-0.008867192061930974,0.1288192454505038,-0.024705619011506124
1,all,40,63,resnet50,layer2,gap,-0.0014312659218740768,0.1288192454505038,-0.003987768655850312
1,all,40,63,resnet50,layer3,gap,0.00578696177116102,0.1288192454505038,0.01612353400647112
1,all,40,63,resnet50,layer4,gap,0.026906361099682155,0.1288192454505038,0.07496604355381457
1,all,40,63,resnet50,avgpool,gap,0.026906361099682155,0.1288192454505038,0.07496604355381457
1,all,40,63,resnet50,logits,gap,0.02808414998724021,0.1288192454505038,0.07824757882775092
1,all,40,63,convnext_tiny,stage1,gap,-0.006672524496137615,0.1288192454505038,-0.018590873739416817
1,all,40,63,convnext_tiny,stage2,gap,0.009399050991417083,0.1288192454505038,0.026187475273102636
1,all,40,63,convnext_tiny,stage3,gap,0.005638276852201888,0.1288192454505038,0.015709270625808423
1,all,40,63,convnext_tiny,stage4,gap,0.012832798210674994,0.1288192454505038,0.035754523103837324
1,all,40,63,convnext_tiny,avgpool,gap,0.012832798210674994,0.1288192454505038,0.035754523103837324
1,all,40,63,convnext_tiny,logits,gap,0.02830629458018421,0.1288192454505038,0.07886651429688357
1,all,40,63,vit_b_16,block2,cls,-0.006193352395829572,0.1288192454505038,-0.017255812621029838
