region,model,layer,view,n_sessions,rho_mean,rho_sem,t,p,rho_norm_mean,frac_sessions_positive
MFC,resnet18,layer2,gap,19.0,0.01059605424203903,0.005523166381064452,1.9173806510760731,0.07120004909546924,0.07168461956012563,0.6842105263157895
MFC,resnet18,layer3,gap,19.0,0.01452885687773592,0.007598780649047326,1.9101950567954498,0.0721732833977329,0.09829088773365849,0.5263157894736842
MFC,resnet18,layer4,gap,19.0,0.01428837302147788,0.006793235789034796,2.101629869867163,0.049930698217834656,0.09666396195992895,0.5789473684210527
MFC,resnet18,logits,gap,19.0,0.015012173575399957,0.006819148196321151,2.199761544612523,0.04112812579840097,0.1015606306783148,0.6842105263157895
MFC,resnet18,stem,gap,19.0,0.0007536144717161949,0.0051306866933364375,0.14681483395875525,0.8849100349175864,0.005098366379217852,0.47368421052631576
MFC,resnet50,avgpool,gap,19.0,0.013005462976161493,0.007370474890175259,1.7624722191281186,0.09496128305079815,0.08798479550535333,0.5789473684210527
MFC,resnet50,layer1,gap,19.0,0.0037834087276388604,0.0041774716698084885,0.9054538416630822,0.37718576749712274,0.025595585779962984,0.5789473684210527
MFC,resnet50,layer2,gap,19.0,0.004784067445038758,0.0046266719788002385,1.0336411709203215,0.3149925547137806,0.03236526039919477,0.631578947368421
MFC,resnet50,layer3,gap,19.0,0.013932901028550201,0.006915673082293047,2.0130565158247964,0.059311673218385194,0.09425911634520918,0.631578947368421
MFC,resnet50,layer4,gap,19.0,0.013005462976161493,0.007370474890175259,1.7624722191281186,0.09496128305079815,0.08798479550535333,0.5789473684210527
MFC,resnet50,logits,gap,19.0,0.009120217799636053,0.006756711607186133,1.3484740658319918,0.19422976899851174,0.06170026392263804,0.5789473684210527
MFC,resnet50,stem,gap,19.0,-0.0032517728733936894,0.0036367970615045495,-0.893799081473635,0.38322465693150765,-0.021998953195270416,0.42105263157894735
MFC,vgg16,conv1_2,gap,19.0,0.005661260111410789,0.00642348057514072,0.8806704712583324,0.39010376409892866,0.038299660236478995,0.5263157894736842
MFC,vgg16,conv2_2,gap,19.0,0.007797832254515397,0.005760840613244785,1.3528747613383048,0.19284576422802582,0.052754037096269704,0.6842105263157895
MFC,vgg16,conv3_3,gap,19.0,0.012036102718060354,0.0063914908927414065,1.8815654788751277,0.07616917785823661,0.08142686179423697,0.631578947368421
MFC,vgg16,conv4_3,gap,19.0,0.014896399605662332,0.008126058903249286,1.830134806314671,0.08384072980401983,0.10077739450510981,0.631578947368421
MFC,vgg16,conv5_3,gap,19.0,0.014280063569276481,0.006152086404692765,2.319321188837355,0.032336737589581804,0.0966077467022298,0.5789473684210527
MFC,vgg16,fc6,gap,19.0,0.015515984265685689,0.005815436249319471,2.6661209095618066,0.015742851415426008,0.10496901995591698,0.6842105263157895
MFC,vgg16,fc7,gap,19.0,0.013308273346349703,0.006116754214428663,2.173724610424,0.043313522383168504,0.09003337374872268,0.5263157894736842
MFC,vgg16,logits,gap,19.0,0.012413394895760616,0.007080407652676426,1.7514728208445902,0.09688544591253888,0.08397932572124779,0.5789473684210527
