subject,region,scope,model,layer,n_images,rho
5,MTL,all,alexnet,conv4,63,0.0037807866286324017
5,MTL,between-category pairs,alexnet,conv4,63,-0.004436939876497344
5,MTL,within-category pairs (all cats),alexnet,conv4,63,0.0064875248452034885
5,MTL,within face_person,alexnet,conv4,29,0.03681774026601613
5,MTL,within animal,alexnet,conv4,19,-0.03900688794489645
5,MTL,all,resnet50,layer2,63,0.00019263732669148726
5,MTL,between-category pairs,resnet50,layer2,63,0.006736542685639835
5,MTL,within-category pairs (all cats),resnet50,layer2,63,-0.0447801573344408
5,MTL,within face_person,resnet50,layer2,29,-0.054377799205385415
5,MTL,within animal,resnet50,layer2,19,-0.021777425780593756
5,MTL,all,resnet50,avgpool,63,-0.027947194194534536
5,MTL,between-category pairs,resnet50,avgpool,63,-0.06401669692896757
5,MTL,within-category pairs (all cats),resnet50,avgpool,63,0.007759622050976178
5,MTL,within face_person,resnet50,avgpool,29,0.07983845914880398
5,MTL,within animal,resnet50,avgpool,19,-0.12081503347973219
5,MTL,all,vit_b_16,ln,63,0.00973027275339662
5,MTL,between-category pairs,vit_b_16,ln,63,-0.033606636912013724
5,MTL,within-category pairs (all cats),vit_b_16,ln,63,0.0772860293191916
5,MTL,within face_person,vit_b_16,ln,29,0.10828983932432208
5,MTL,within animal,vit_b_16,ln,19,-0.17362421100631198
5,MTL,all,dinov2_small,norm,63,0.010013308603483094
5,MTL,between-category pairs,dinov2_small,norm,63,0.00039922082640079067
5,MTL,within-category pairs (all cats),dinov2_small,norm,63,-0.01376627934069703
5,MTL,within face_person,dinov2_small,norm,29,0.028139648829304
5,MTL,within animal,dinov2_small,norm,19,-0.13975088199294405
5,MTL,all,clip_vitb32,ln_post,63,0.03121828013178222
5,MTL,between-category pairs,clip_vitb32,ln_post,63,0.015604638955921428
5,MTL,within-category pairs (all cats),clip_vitb32,ln_post,63,0.04461984915992023
5,MTL,within face_person,clip_vitb32,ln_post,29,0.0007752490511111201
5,MTL,within animal,clip_vitb32,ln_post,19,-0.10595435236518108
5,MFC,all,alexnet,conv1,63,0.019228091010261527
5,MFC,between-category pairs,alexnet,conv1,63,0.002655272621144491
5,MFC,within-category pairs (all cats),alexnet,conv1,63,0.07486289207568325
5,MFC,within face_person,alexnet,conv1,29,0.11611244025037129
5,MFC,within animal,alexnet,conv1,19,0.041402068783449736
5,MFC,all,alexnet,conv4,63,0.011616559826424526
5,MFC,between-category pairs,alexnet,conv4,63,-0.023581446394833346
5,MFC,within-category pairs (all cats),alexnet,conv4,63,0.10599389644000778
5,MFC,within face_person,alexnet,conv4,29,0.1267100508479819
5,MFC,within animal,alexnet,conv4,19,0.1951904384764922
5,MFC,all,resnet50,layer2,63,0.0038881642744983996
5,MFC,between-category pairs,resnet50,layer2,63,-0.02888347693224978
5,MFC,within-category pairs (all cats),resnet50,layer2,63,0.10633866725457726
5,MFC,within face_person,resnet50,layer2,29,0.15104607518400623
5,MFC,within animal,resnet50,layer2,19,0.0793889648882809
5,MFC,all,resnet50,avgpool,63,-0.002645532537063395
5,MFC,between-category pairs,resnet50,avgpool,63,-0.03324725120038951
5,MFC,within-category pairs (all cats),resnet50,avgpool,63,0.08687364309156652
5,MFC,within face_person,resnet50,avgpool,29,0.16390263976470876
5,MFC,within animal,resnet50,avgpool,19,0.021424628602971178
5,MFC,all,vit_b_16,ln,63,0.04304629285894581
5,MFC,between-category pairs,vit_b_16,ln,63,0.03297613667231184
5,MFC,within-category pairs (all cats),vit_b_16,ln,63,0.08446907744183703
5,MFC,within face_person,vit_b_16,ln,29,0.12280287452701247
5,MFC,within animal,vit_b_16,ln,19,-0.06140110879112968
5,MFC,all,dinov2_small,norm,63,0.023571237773775303
5,MFC,between-category pairs,dinov2_small,norm,63,0.022976442353570894
5,MFC,within-category pairs (all cats),dinov2_small,norm,63,0.09072075443966483
5,MFC,within face_person,dinov2_small,norm,29,0.17320724217275943
5,MFC,within animal,dinov2_small,norm,19,0.029901360789113686
