subject,region,n_units,n_images,text_variant,text_centering,image_space,rho_text,rho_img,rho_text_given_img,rho_img_given_text,rho_text_img
4,MTL_concept,12,63,identity+fine,centred,resnet50_avgpool,0.185340505071731,0.17978927787811463,0.09844840575218054,0.08725485888420954,0.5999213875492864
4,MTL_concept,12,63,fine-only,raw,clip_embed,0.06871654936021437,0.1680385588203326,0.04374555141854586,0.15967158985756968,0.15542312823409837
4,MTL_concept,12,63,fine-only,raw,clip_ln_post,0.06871654936021437,0.19108880172552734,0.0166923362158189,0.17948129969375642,0.2772218524903318
4,MTL_concept,12,63,fine-only,raw,resnet50_avgpool,0.06871654936021437,0.17978927787811463,-0.006718149577825565,0.16666450486353984,0.41563846777194596
4,MTL_concept,12,63,fine-only,centred,clip_embed,0.1718760106262192,0.1680385588203326,0.08979987901212785,0.08204111481678093,0.6023116238436202
4,MTL_concept,12,63,fine-only,centred,clip_ln_post,0.1718760106262192,0.19108880172552734,0.05842596996472379,0.10283438738484794,0.6791765423352445
4,MTL_concept,12,63,fine-only,centred,resnet50_avgpool,0.1718760106262192,0.17978927787811463,0.08450320278162089,0.09993921679085815,0.5790240942303545
4,MFC,20,63,identity+fine,raw,clip_embed,0.03430647132977486,0.05938355295103335,0.0046622851538640694,0.04872295753081674,0.5103100919756505
4,MFC,20,63,identity+fine,raw,clip_ln_post,0.03430647132977486,0.04863834590278117,0.014738892874566208,0.03751175644030366,0.4324285428532719
4,MFC,20,63,identity+fine,raw,resnet50_avgpool,0.03430647132977486,0.04098406728119363,0.030912087061871738,0.03818937486860764,0.08626506440880816
4,MFC,20,63,identity+fine,centred,clip_embed,0.03989444203386498,0.05938355295103335,0.004807429355148325,0.044283075548510874,0.607626306205991
4,MFC,20,63,identity+fine,centred,clip_ln_post,0.03989444203386498,0.04863834590278117,0.008799135983909977,0.029201386614664374,0.689320159940966
4,MFC,20,63,identity+fine,centred,resnet50_avgpool,0.03989444203386498,0.04098406728119363,0.019148708231843604,0.0213285820263614,0.5999213875492864
4,MFC,20,63,fine-only,raw,clip_embed,0.005322886807507655,0.05938355295103335,-0.003961740428834352,0.05927742262724781,0.15542312823409837
4,MFC,20,63,fine-only,raw,clip_ln_post,0.005322886807507655,0.04863834590278117,-0.008503689743973312,0.049087325334993485,0.2772218524903318
4,MFC,20,63,fine-only,raw,resnet50_avgpool,0.005322886807507655,0.04098406728119363,-0.012887444776537312,0.04262885634524725,0.41563846777194596
4,MFC,20,63,fine-only,centred,clip_embed,0.023199938402186555,0.05938355295103335,-0.015771386493323804,0.05690141820310408,0.6023116238436202
4,MFC,20,63,fine-only,centred,clip_ln_post,0.023199938402186555,0.04863834590278117,-0.013414269915876503,0.044811263161465366,0.6791765423352445
4,MFC,20,63,fine-only,centred,resnet50_avgpool,0.023199938402186555,0.04098406728119363,-0.0006516173306981307,0.0338008203224598,0.5790240942303545
5,MTL,14,63,identity+fine,raw,clip_embed,0.010151597047653563,0.02441904047686191,0.00014931743079549373,0.02221053208240716,0.41014950751512724
5,MTL,14,63,identity+fine,raw,clip_ln_post,0.010151597047653563,0.03121828013178222,-0.0013292705750556535,0.02955302583882584,0.36480725611561027
5,MTL,14,63,identity+fine,raw,resnet50_avgpool,0.010151597047653563,-0.027947194194534536,0.011685625611720016,-0.028539829578428235,0.05411449654926551
5,MTL,14,63,identity+fine,centred,clip_embed,0.02334920903949229,0.02441904047686191,0.012658202856362424,0.014538010802000042,0.5106199339989919
5,MTL,14,63,identity+fine,centred,clip_ln_post,0.02334920903949229,0.03121828013178222,0.00754159807002954,0.02205631305262999,0.5455768876031878
5,MTL,14,63,identity+fine,centred,resnet50_avgpool,0.02334920903949229,-0.027947194194534536,0.041733900040508504,-0.04446679823044208,0.4767175607065488
5,MTL,14,63,fine-only,raw,clip_embed,0.002184087745824462,0.02441904047686191,0.0007616548145869982,0.024333143963227086,0.05831333745076963
