region,model,layer,view,n_pairs,rho,p_perm,null_sd
MTL,alexnet,conv5,gap,6886,0.08373804787808699,0.004975124378109453,0.012643918274180837
MFC,alexnet,conv5,gap,6886,0.03089453195018415,0.004975124378109453,0.010998759093562852
amygdala,alexnet,conv5,gap,5987,0.09188838548784667,0.004975124378109453,0.012384132230784493
hippocampus,alexnet,conv5,gap,6200,0.017146343876289386,0.07462686567164178,0.012337711144374701
MTL_concept,alexnet,conv5,gap,5681,0.10357308336034843,0.004975124378109453,0.012681651427559745
MTL,alexnet,fc6,gap,6886,0.0871177511949364,0.004975124378109453,0.01273626473862565
MFC,alexnet,fc6,gap,6886,0.03189462512069384,0.004975124378109453,0.01055372597799651
amygdala,alexnet,fc6,gap,5987,0.08644102113647172,0.004975124378109453,0.012735636606411624
hippocampus,alexnet,fc6,gap,6200,0.018503472377605915,0.06965174129353234,0.011405553295699833
MTL_concept,alexnet,fc6,gap,5681,0.1033958542938088,0.004975124378109453,0.012915471886795508
MTL,alexnet,fc7,gap,6886,0.08544376117535751,0.004975124378109453,0.012360240337693179
MFC,alexnet,fc7,gap,6886,0.028365264242046617,0.004975124378109453,0.01065521260681334
amygdala,alexnet,fc7,gap,5987,0.08619892131859175,0.004975124378109453,0.012891527445185196
hippocampus,alexnet,fc7,gap,6200,0.017484416305259796,0.0945273631840796,0.012474764132834366
MTL_concept,alexnet,fc7,gap,5681,0.10486477968486538,0.004975124378109453,0.012759051437291136
MTL,alexnet,logits,gap,6886,0.09226509676680195,0.004975124378109453,0.01153420038530707
MFC,alexnet,logits,gap,6886,0.024243099047816446,0.014925373134328358,0.009941044559127862
amygdala,alexnet,logits,gap,5987,0.07516389058711892,0.004975124378109453,0.010727877361977094
hippocampus,alexnet,logits,gap,6200,0.02615646244671452,0.014925373134328358,0.01141711314607949
MTL_concept,alexnet,logits,gap,5681,0.09568984578469673,0.004975124378109453,0.012271487475537954
MTL,vgg16,conv1_2,gap,6886,0.026453419563993837,0.024875621890547265,0.012472251838726177
MFC,vgg16,conv1_2,gap,6886,0.015121140083668539,0.08955223880597014,0.010913509651607343
amygdala,vgg16,conv1_2,gap,5987,0.032664250372479456,0.009950248756218905,0.012143514282221345
hippocampus,vgg16,conv1_2,gap,6200,-0.0018415317754547165,0.5572139303482587,0.011196485678543543
MTL_concept,vgg16,conv1_2,gap,5681,0.03722260026165361,0.009950248756218905,0.013272349567354076
MTL,vgg16,conv2_2,gap,6886,0.0562836782746896,0.004975124378109453,0.012464589628903905
MFC,vgg16,conv2_2,gap,6886,0.017715772191932384,0.04477611940298507,0.010465793994617029
amygdala,vgg16,conv2_2,gap,5987,0.055385939442677334,0.004975124378109453,0.012435829827814807
hippocampus,vgg16,conv2_2,gap,6200,0.017464668704369492,0.06965174129353234,0.011645688637379688
MTL_concept,vgg16,conv2_2,gap,5681,0.07450127664801683,0.004975124378109453,0.012361606314173065
MTL,vgg16,conv3_3,gap,6886,0.0798517166061398,0.004975124378109453,0.012309128302061371
MFC,vgg16,conv3_3,gap,6886,0.021343245447544283,0.029850746268656716,0.010953209575978489
amygdala,vgg16,conv3_3,gap,5987,0.07221642609378781,0.004975124378109453,0.011308449840098867
hippocampus,vgg16,conv3_3,gap,6200,0.02001298748786533,0.04477611940298507,0.011514062880469609
MTL_concept,vgg16,conv3_3,gap,5681,0.09655088171126813,0.004975124378109453,0.012219047890711437
MTL,vgg16,conv4_3,gap,6886,0.10111872551522222,0.004975124378109453,0.012676550748569179
MFC,vgg16,conv4_3,gap,6886,0.02325212144130563,0.01990049751243781,0.011059074578058338
amygdala,vgg16,conv4_3,gap,5987,0.09871149183409697,0.004975124378109453,0.011857917413634709
hippocampus,vgg16,conv4_3,gap,6200,0.017288395761164,0.08955223880597014,0.012019051704405096
MTL_concept,vgg16,conv4_3,gap,5681,0.11459916669126992,0.004975124378109453,0.012304374387949067
MTL,vgg16,conv5_3,gap,6886,0.09340202778836577,0.004975124378109453,0.01299392815479658
MFC,vgg16,conv5_3,gap,6886,0.02342649312731618,0.01990049751243781,0.011407312458482656
amygdala,vgg16,conv5_3,gap,5987,0.0902380865313554,0.004975124378109453,0.012184065495782216
hippocampus,vgg16,conv5_3,gap,6200,0.025360885137023625,0.03482587064676617,0.012288831675373748
MTL_concept,vgg16,conv5_3,gap,5681,0.10046152411033493,0.004975124378109453,0.014355041956423325
MTL,vgg16,fc6,gap,6886,0.08598529510731209,0.004975124378109453,0.012374668750577737
MFC,vgg16,fc6,gap,6886,0.026085025640761733,0.009950248756218905,0.011017142892580307
amygdala,vgg16,fc6,gap,5987,0.07376038929011708,0.004975124378109453,0.011676049302951377
hippocampus,vgg16,fc6,gap,6200,0.02934565760773002,0.004975124378109453,0.011695359253530628
MTL_concept,vgg16,fc6,gap,5681,0.09751250222939022,0.004975124378109453,0.012150968237385087
MTL,vgg16,fc7,gap,6886,0.09772001273794785,0.004975124378109453,0.01229792491404603
MFC,vgg16,fc7,gap,6886,0.02152963422604989,0.014925373134328358,0.010487374577405971
amygdala,vgg16,fc7,gap,5987,0.0918141425353158,0.004975124378109453,0.01308052339439718
hippocampus,vgg16,fc7,gap,6200,0.031506111270808,0.004975124378109453,0.011923636400664777
MTL_concept,vgg16,fc7,gap,5681,0.10740156934943154,0.004975124378109453,0.013943231535138222
MTL,vgg16,logits,gap,6886,0.0980013132402324,0.004975124378109453,0.012514320777019004
MFC,vgg16,logits,gap,6886,0.02101346699265005,0.04975124378109453,0.011529587014562293
amygdala,vgg16,logits,gap,5987,0.08031591907604643,0.004975124378109453,0.012554087605733644
hippocampus,vgg16,logits,gap,6200,0.03341029557854512,0.009950248756218905,0.011660259147611752
MTL_concept,vgg16,logits,gap,5681,0.1010922075382453,0.004975124378109453,0.011553859425923733
MTL,resnet18,stem,gap,6886,0.02038179732725461,0.05472636815920398,0.012556552534589495
MFC,resnet18,stem,gap,6886,0.006248244001401312,0.29850746268656714,0.009712295875694115
amygdala,resnet18,stem,gap,5987,0.015787136053216497,0.1044776119402985,0.01090995655075836
hippocampus,resnet18,stem,gap,6200,0.0056893020409612746,0.26865671641791045,0.01024899722049606
MTL_concept,resnet18,stem,gap,5681,0.02906088481279584,0.01990049751243781,0.01283617614951596
MTL,resnet18,layer1,gap,6886,0.038648168125193436,0.004975124378109453,0.013592747413329298
MFC,resnet18,layer1,gap,6886,0.008649226729187099,0.18407960199004975,0.00951455356285144
amygdala,resnet18,layer1,gap,5987,0.02302682205380404,0.024875621890547265,0.010386783516377467
