subject,model,layer,view,metric,rho
4,convnext_tiny,stage3,rp,euclidean,0.03751558374145732
4,convnext_tiny,stage4,gap,correlation,0.07505726442637102
4,convnext_tiny,stage4,gap,euclidean,0.03318770691171039
4,convnext_tiny,stage4,rp,correlation,0.08145516208753588
4,convnext_tiny,stage4,rp,euclidean,0.04749808345335995
4,convnext_tiny,avgpool,gap,correlation,0.07505726442637102
4,convnext_tiny,avgpool,gap,euclidean,0.03318770691171039
4,convnext_tiny,avgpool,rp,correlation,0.07505726442637102
4,convnext_tiny,avgpool,rp,euclidean,0.03318770691171039
4,convnext_tiny,logits,gap,correlation,0.046177624831217214
4,convnext_tiny,logits,gap,euclidean,0.07276298386085116
4,convnext_tiny,logits,rp,correlation,0.046177624831217214
4,convnext_tiny,logits,rp,euclidean,0.07276298386085116
5,alexnet,conv1,gap,correlation,0.0018981740696800507
5,alexnet,conv1,gap,euclidean,-0.0017107142476965166
5,alexnet,conv1,rp,correlation,0.024118537394806443
5,alexnet,conv1,rp,euclidean,0.00880887666976299
5,alexnet,conv2,gap,correlation,0.011300662769574662
5,alexnet,conv2,gap,euclidean,0.011425974814915968
5,alexnet,conv2,rp,correlation,0.01089687700648444
5,alexnet,conv2,rp,euclidean,0.014352569822082254
5,alexnet,conv3,gap,correlation,0.013784547294839815
5,alexnet,conv3,gap,euclidean,0.013930185959473264
5,alexnet,conv3,rp,correlation,0.025050702494921927
5,alexnet,conv3,rp,euclidean,0.01580825732807972
5,alexnet,conv4,gap,correlation,0.0037807866286324017
5,alexnet,conv4,gap,euclidean,0.02275577433858296
5,alexnet,conv4,rp,correlation,0.02465112446123344
5,alexnet,conv4,rp,euclidean,0.03087628613147596
5,alexnet,conv5,gap,correlation,-0.004704976051769325
5,alexnet,conv5,gap,euclidean,0.007773548096872989
5,alexnet,conv5,rp,correlation,-0.0038016255212590605
5,alexnet,conv5,rp,euclidean,0.00435072615357318
5,alexnet,fc6,gap,correlation,-0.0018938439101732125
5,alexnet,fc6,gap,euclidean,0.00518628262430451
5,alexnet,fc6,rp,correlation,0.0010217484967580638
5,alexnet,fc6,rp,euclidean,0.004874324272809638
